date,lon,lat,eyenum,chl_pre,chl_post,sst_pre,sst_post,CycloneName
24-05-2024,88.4,15,Eye-1,0.1522,,32.71,22.88,Remal
24-05-2024,88.7,15.5,Eye-2,0.1596,,33.01,29.35,Remal
24-05-2024,88.9,15.8,Eye-3,0.1462,,32.73,29.51,Remal
24-05-2024,89.1,16.2,Eye-4,0.1005,,32.46,29.33,Remal
24-05-2024,89.4,16.8,Eye-5,0.1754,,33.77,29.48,Remal
25-05-2024,89.7,17.6,Eye-6,0.2223,0.1986,33.45,29.12,Remal
25-05-2024,89.7,18,Eye-7,0.2591,0.2871,33.23,29.04,Remal
25-05-2024,89.7,18.2,Eye-8,0.2341,0.3436,33.1,28.58,Remal
25-05-2024,89.5,18.8,Eye-9,0.1712,0.5284,33.38,28.46,Remal
25-05-2024,89.5,19.1,Eye-10,0.1677,0.3674,33.04,26.81,Remal
25-05-2024,89.4,19.3,Eye-11,,0.3013,32.73,28.16,Remal
25-05-2024,89.4,19.4,Eye-12,0.1385,0.2767,33.43,28.54,Remal
26-05-2024,89.4,19.5,Eye-13,0.1534,0.3044,33.5,28.34,Remal
26-05-2024,89.3,19.8,Eye-14,0.2756,0.3831,32.99,26.02,Remal
26-05-2024,89.2,20.2,Eye-15,0.1807,0.2451,33.51,27.28,Remal
26-05-2024,89.2,20.6,Eye-16,0.2091,,33.12,27.4,Remal
26-05-2024,89.2,21.1,Eye-17,,,32.4,26.99,Remal
26-05-2024,89.2,21.4,Eye-18,,,30.89,25.21,Remal
26-05-2024,89.2,21.7,Eye-19,,,32.57,28.57,Remal
30-08-2024,68.4,23.5,Eye-1,3.2962, ,29.07,25.57,Asna
30-08-2024,68.2,23.5,Eye-2,2.9244, ,29.06,22.5,Asna
30-08-2024,67.9,23.5,Eye-3,1.2248,3.4964,28.6,24.69,Asna
30-08-2024,67.5,23.5,Eye-4,0.4787,1.1083,28.5,24.29,Asna
30-08-2024,67.2,23.5,Eye-5, ,1.1492,27.96,25.52,Asna
30-08-2024,67,23.5,Eye-6, ,1.8225,27.99,24.41,Asna
30-08-2024,66.4,23.6,Eye-7,0.4001, ,28.39,22.58,Asna
30-08-2024,66.2,23.6,Eye-8, , ,28.16,23.24,Asna
31-08-2024,65.8,23.6,Eye-9,0.2093, ,28.6,25.32,Asna
31-08-2024,65.3,23.6,Eye-10, , ,28.18,25.42,Asna
31-08-2024,64.9,23.6,Eye-11,0.2363, ,28.34,25.03,Asna
31-08-2024,64.4,23.6,Eye-12, ,0.5242,26.66,24.93,Asna
31-08-2024,64.4,23.6,Eye-13, ,0.5242,26.66,24.93,Asna
31-08-2024,63.7,23.6,Eye-14,0.2626, ,28.06,25.04,Asna
31-08-2024,63.7,23.5,Eye-15,0.2873, ,27.98,25.85,Asna
31-08-2024,63,23.4,Eye-16,0.5838, ,27.76,25.11,Asna
01-09-2024,62.6,23.2,Eye-17, , ,26.71,24.48,Asna
01-09-2024,62.3,23,Eye-18, ,0.7066,26.44,25.4,Asna
01-09-2024,62,22.7,Eye-19, , ,25.31,25.06,Asna
22-10-2024,91.6,15.4,Eye-1, ,0.1646,29.31,30.67,Dana
22-10-2024,91.4,15.5,Eye-2,0.1508,0.1538,29.52,30.61,Dana
22-10-2024,91.3,15.5,Eye-3,0.1542,,29.36,30.54,Dana
22-10-2024,90.9,15.6,Eye-4,0.1664,,29.57,29.11,Dana
22-10-2024,90.5,15.8,Eye-5,0.1521,0.1444,29.7,31.06,Dana
23-10-2024,89.8,16.2,Eye-6, ,,30.14,30.5,Dana
23-10-2024,89.6,16.5,Eye-7, ,,29.91,30.29,Dana
23-10-2024,89.2,16.7,Eye-8, ,,27.76,29.58,Dana
23-10-2024,89.1,16.9,Eye-9,0.1529,0.1612,30.04,30.58,Dana
23-10-2024,88.9,17.2,Eye-10,0.1599,0.1746,30.54,31.02,Dana
23-10-2024,88.7,17.6,Eye-11,0.1322,0.2007,30.45,31.13,Dana
23-10-2024,88.5,17.9,Eye-12, ,0.2185,29.87,30.42,Dana
23-10-2024,88.3,18.3,Eye-13, ,0.2175,29.63,31.54,Dana
24-10-2024,88.2,18.6,Eye-14,0.1491,0.2108,30.05,31.1,Dana
24-10-2024,88,18.9,Eye-15,0.1616,,30.36,28.5,Dana
24-10-2024,87.8,19.2,Eye-16,0.1769,0.2418,29.99,29.76,Dana
24-10-2024,87.6,19.4,Eye-17,0.3151,0.273,30.42,29.77,Dana
24-10-2024,87.5,19.8,Eye-18,0.4118,,30.79,28.3,Dana
24-10-2024,87.3,20.1,Eye-19, ,0.2522,30.8,29.69,Dana
24-10-2024,87.1,20.5,Eye-20,1.6392,5.1373,31.3,29.78,Dana
